[24/01/2018 | 16:07:11] | [DCAMainVault\ddddddd\Root -> C:\Program Files (x86)\CyberArk\DCA\TempFilesDirectory\ddddddd]  | [*R  1] |              |  ::  | CFTXR051I Rule found no files to transfer.
[24/01/2018 | 16:07:11] | [DCAMainVault\ddddddd\Root -> C:\Program Files (x86)\CyberArk\DCA\TempFilesDirectory\ddddddd]  | [*R  1] |              |  ::  | CFTXR010I Transfer rule completed successfully. ([Files succeeded: 0] [Files warned: 0])
[24/01/2018 | 16:07:16] |                                 |         |              |  ::  | CFTPR010I Process [ContentFiltering] completed successfully ([Rules succeeded: 1] [Rules warned: 0])
[24/01/2018 | 16:07:31] |                                 |         |              |  ::  | CFTPR001I New Automap process [ContentFiltering] has started. InstanceID [ca40ee38-72f7-47f7-9df3-3888a1d35976].
[24/01/2018 | 16:07:31] | [DCAMainVault\ddddddd\Root -> C:\Program Files (x86)\CyberArk\DCA\TempFilesDirectory\ddddddd]  | [*R  1] |              |  ::  | CFTXR001I New V2FS transfer rule started: [Vault{DCAMainVault}\Safe{ddddddd}\Root\*] ===> [C:\Program Files (x86)\CyberArk\DCA\TempFilesDirectory\ddddddd\.]
[24/01/2018 | 16:07:31] | [DCAMainVault\ddddddd\Root -> C:\Program Files (x86)\CyberArk\DCA\TempFilesDirectory\ddddddd]  | [*R  1] |              |  ::  | CFTXR051I Rule found no files to transfer.
[24/01/2018 | 16:07:31] | [DCAMainVault\ddddddd\Root -> C:\Program Files (x86)\CyberArk\DCA\TempFilesDirectory\ddddddd]  | [*R  1] |              |  ::  | CFTXR010I Transfer rule completed successfully. ([Files succeeded: 0] [Files warned: 0])
[24/01/2018 | 16:07:36] |                                 |         |              |  ::  | CFTPR010I Process [ContentFiltering] completed successfully ([Rules succeeded: 1] [Rules warned: 0])
[24/01/2018 | 16:07:51] |                                 |         |              |  ::  | CFTPR001I New Automap process [ContentFiltering] has started. InstanceID [a3c0a15b-744f-44db-936a-dbf0866d501b].
[24/01/2018 | 16:07:51] | [DCAMainVault\ddddddd\Root -> C:\Program Files (x86)\CyberArk\DCA\TempFilesDirectory\ddddddd]  | [*R  1] |              |  ::  | CFTXR001I New V2FS transfer rule started: [Vault{DCAMainVault}\Safe{ddddddd}\Root\*] ===> [C:\Program Files (x86)\CyberArk\DCA\TempFilesDirectory\ddddddd\.]
[24/01/2018 | 16:07:51] | [DCAMainVault\ddddddd\Root -> C:\Program Files (x86)\CyberArk\DCA\TempFilesDirectory\ddddddd]  | [*R  1] |              |  ::  | CFTXR051I Rule found no files to transfer.
[24/01/2018 | 16:07:51] | [DCAMainVault\ddddddd\Root -> C:\Program Files (x86)\CyberArk\DCA\TempFilesDirectory\ddddddd]  | [*R  1] |              |  ::  | CFTXR010I Transfer rule completed successfully. ([Files succeeded: 0] [Files warned: 0])
[24/01/2018 | 16:07:56] |                                 |         |              |  ::  | CFTPR010I Process [ContentFiltering] completed successfully ([Rules succeeded: 1] [Rules warned: 0])
[24/01/2018 | 16:08:11] |                                 |         |              |  ::  | CFTPR001I New Automap process [ContentFiltering] has started. InstanceID [f474517d-cdef-40ab-b71b-e8c085be790a].
[24/01/2018 | 16:08:11] | [DCAMainVault\ddddddd\Root -> C:\Program Files (x86)\CyberArk\DCA\TempFilesDirectory\ddddddd]  | [*R  1] |              |  ::  | CFTXR001I New V2FS transfer rule started: [Vault{DCAMainVault}\Safe{ddddddd}\Root\*] ===> [C:\Program Files (x86)\CyberArk\DCA\TempFilesDirectory\ddddddd\.]
[24/01/2018 | 16:08:11] | [DCAMainVault\ddddddd\Root -> C:\Program Files (x86)\CyberArk\DCA\TempFilesDirectory\ddddddd]  | [*R  1] |              |  ::  | CFTXR051I Rule found no files to transfer.
[24/01/2018 | 16:08:11] | [DCAMainVault\ddddddd\Root -> C:\Program Files (x86)\CyberArk\DCA\TempFilesDirectory\ddddddd]  | [*R  1] |              |  ::  | CFTXR010I Transfer rule completed successfully. ([Files succeeded: 0] [Files warned: 0])
[24/01/2018 | 16:08:16] |                                 |         |              |  ::  | CFTPR010I Process [ContentFiltering] completed successfully ([Rules succeeded: 1] [Rules warned: 0])
[24/01/2018 | 16:08:31] |                                 |         |              |  ::  | CFTPR001I New Automap process [ContentFiltering] has started. InstanceID [91577cec-7f0b-45c5-a701-963cb5a12d00].
[24/01/2018 | 16:08:31] | [DCAMainVault\ddddddd\Root -> C:\Program Files (x86)\CyberArk\DCA\TempFilesDirectory\ddddddd]  | [*R  1] |              |  ::  | CFTXR001I New V2FS transfer rule started: [Vault{DCAMainVault}\Safe{ddddddd}\Root\*] ===> [C:\Program Files (x86)\CyberArk\DCA\TempFilesDirectory\ddddddd\.]
[24/01/2018 | 16:08:31] | [DCAMainVault\ddddddd\Root -> C:\Program Files (x86)\CyberArk\DCA\TempFilesDirectory\ddddddd]  | [*R  1] |              |  ::  | CFTXR051I Rule found no files to transfer.
[24/01/2018 | 16:08:31] | [DCAMainVault\ddddddd\Root -> C:\Program Files (x86)\CyberArk\DCA\TempFilesDirectory\ddddddd]  | [*R  1] |              |  ::  | CFTXR010I Transfer rule completed successfully. ([Files succeeded: 0] [Files warned: 0])
[24/01/2018 | 16:08:36] |                                 |         |              |  ::  | CFTPR010I Process [ContentFiltering] completed successfully ([Rules succeeded: 1] [Rules warned: 0])
[24/01/2018 | 16:08:51] |                                 |         |              |  ::  | CFTPR001I New Automap process [ContentFiltering] has started. InstanceID [c56602fb-de76-4c58-a9fc-5783418bc38c].
[24/01/2018 | 16:08:51] | [DCAMainVault\ddddddd\Root -> C:\Program Files (x86)\CyberArk\DCA\TempFilesDirectory\ddddddd]  | [*R  1] |              |  ::  | CFTXR001I New V2FS transfer rule started: [Vault{DCAMainVault}\Safe{ddddddd}\Root\*] ===> [C:\Program Files (x86)\CyberArk\DCA\TempFilesDirectory\ddddddd\.]
[24/01/2018 | 16:08:51] | [DCAMainVault\ddddddd\Root -> C:\Program Files (x86)\CyberArk\DCA\TempFilesDirectory\ddddddd]  | [*R  1] |              |  ::  | CFTXR051I Rule found no files to transfer.
[24/01/2018 | 16:08:51] | [DCAMainVault\ddddddd\Root -> C:\Program Files (x86)\CyberArk\DCA\TempFilesDirectory\ddddddd]  | [*R  1] |              |  ::  | CFTXR010I Transfer rule completed successfully. ([Files succeeded: 0] [Files warned: 0])
[24/01/2018 | 16:08:56] |                                 |         |              |  ::  | CFTPR010I Process [ContentFiltering] completed successfully ([Rules succeeded: 1] [Rules warned: 0])
