[31/01/2016 | 09:30:35.223122] | {pid= 2464} | {tid=     2592} |  ::  | IW023E Error authentication request (AcquireRequestState phase). Reason: Object reference not set to an instance of an object.
[31/01/2016 | 09:30:35.223229] | {pid= 2464} | {tid=     1696} |  ::  | IW023E Error authentication request (AcquireRequestState phase). Reason: Object reference not set to an instance of an object.
[31/01/2016 | 09:30:35.223337] | {pid= 2464} | {tid=     2592} |  ::  | IW023E Error authentication request (AcquireRequestState phase). Reason: Object reference not set to an instance of an object.
[31/01/2016 | 09:30:35.223461] | {pid= 2464} | {tid=     1696} |  ::  | IW023E Error authentication request (AcquireRequestState phase). Reason: Object reference not set to an instance of an object.
[31/01/2016 | 09:30:35.226500] | {pid= 2464} | {tid=     2592} |  ::  | CASW048D ------------ STARTING Acquire Request State --------------
[31/01/2016 | 09:30:35.226556] | {pid= 2464} | {tid=     1696} |  ::  | CASW048D ------------ STARTING Acquire Request State --------------
[31/01/2016 | 09:30:35.228675] | {pid= 2464} | {tid=     2592} |  ::  | CASW049D ------------ ENDING Acquire Request State --------------
[31/01/2016 | 09:30:35.228895] | {pid= 2464} | {tid=     1696} |  ::  | CASW049D ------------ ENDING Acquire Request State --------------
[31/01/2016 | 09:30:35.232498] | {pid= 2464} | {tid=     2592} |  ::  | CASW059D ------------ STARTING Application Acquire Request State --------------
[31/01/2016 | 09:30:35.232644] | {pid= 2464} | {tid=     2592} |  ::  | CASW060D ------------ ENDING Application Acquire Request State --------------
[31/01/2016 | 09:30:35.232698] | {pid= 2464} | {tid=     1696} |  ::  | CASW059D ------------ STARTING Application Acquire Request State --------------
[31/01/2016 | 09:30:35.232823] | {pid= 2464} | {tid=     1696} |  ::  | CASW060D ------------ ENDING Application Acquire Request State --------------
[31/01/2016 | 09:30:35.239968] | {pid= 2464} | {tid=     1696} |  ::  | CASW051D ------------ STARTING Pre Request Handler Execute --------------
[31/01/2016 | 09:30:35.240046] | {pid= 2464} | {tid=     2592} |  ::  | CASW051D ------------ STARTING Pre Request Handler Execute --------------
[31/01/2016 | 09:30:35.255742] | {pid= 2464} | {tid=     2592} |  ::  | CASW005D ------------ STARTING End Request --------------
[31/01/2016 | 09:30:35.255835] | {pid= 2464} | {tid=     1696} |  ::  | CASW005D ------------ STARTING End Request --------------
[31/01/2016 | 09:30:35.256582] | {pid= 2464} | {tid=     2592} |  ::  | CASW020D Unload session
[31/01/2016 | 09:30:35.256720] | {pid= 2464} | {tid=     1696} |  ::  | CASW020D Unload session
[31/01/2016 | 09:30:35.257711] | {pid= 2464} | {tid=     2592} |  ::  | CASW025D Remove request session
[31/01/2016 | 09:30:35.257775] | {pid= 2464} | {tid=     1696} |  ::  | CASW025D Remove request session
[31/01/2016 | 09:30:35.258412] | {pid= 2464} | {tid=     2592} |  ::  | CASW026D Remove session object
[31/01/2016 | 09:30:35.258478] | {pid= 2464} | {tid=     1696} |  ::  | CASW026D Remove session object
[31/01/2016 | 09:30:35.260494] | {pid= 2464} | {tid=     2592} |  ::  | CASW006D ------------ ENDING End Request --------------
[31/01/2016 | 09:30:35.260555] | {pid= 2464} | {tid=     1696} |  ::  | CASW006D ------------ ENDING End Request --------------
[31/01/2016 | 09:30:35.278997] | {pid= 2464} | {tid=     1696} |  ::  | CASW061D ------------ STARTING Application Pre Send Request Headers --------------
[31/01/2016 | 09:30:35.279067] | {pid= 2464} | {tid=     2592} |  ::  | CASW061D ------------ STARTING Application Pre Send Request Headers --------------
[31/01/2016 | 09:30:35.280470] | {pid= 2464} | {tid=     1696} |  ::  | EPVAN040D Disabling HTTP cache
[31/01/2016 | 09:30:35.280638] | {pid= 2464} | {tid=     1696} |  ::  | CASW062D ------------ ENDING Application Pre Send Request Headers --------------
[31/01/2016 | 09:30:35.280696] | {pid= 2464} | {tid=     2592} |  ::  | EPVAN040D Disabling HTTP cache
[31/01/2016 | 09:30:35.280849] | {pid= 2464} | {tid=     2592} |  ::  | CASW062D ------------ ENDING Application Pre Send Request Headers --------------
[31/01/2016 | 09:32:13.010123] | {pid= 2464} | {tid=     2424} |  ::  | CASW002D ------------ STARTING Begin Request --------------
[31/01/2016 | 09:32:13.010636] | {pid= 2464} | {tid=     2424} |  ::  | EPVAN037D User agent: Cyber-Ark tasks agent
[31/01/2016 | 09:32:13.011020] | {pid= 2464} | {tid=     2424} |  ::  | CASW005E Failed in Begin_Request. Reason: Object reference not set to an instance of an object.
[31/01/2016 | 09:32:13.011149] | {pid= 2464} | {tid=     2424} |  ::  | CASW003D ------------ ENDING Begin Request --------------
[31/01/2016 | 09:32:13.011397] | {pid= 2464} | {tid=     2424} |  ::  | CASW057D ------------ STARTING Application Begin Request --------------
[31/01/2016 | 09:32:13.011805] | {pid= 2464} | {tid=     2424} |  ::  | IW020D Creating the cultures list
[31/01/2016 | 09:32:13.012398] | {pid= 2464} | {tid=     2424} |  ::  | IW046E Error in Application BeginRequest. Reason: The type initializer for 'c4' threw an exception.
[31/01/2016 | 09:32:13.012543] | {pid= 2464} | {tid=     2424} |  ::  | CASW058D ------------ ENDING Application Begin Request --------------
[31/01/2016 | 09:32:13.027512] | {pid= 2464} | {tid=     2424} |  ::  | IW022E Error authenticating request. Reason: Object reference not set to an instance of an object.
[31/01/2016 | 09:32:13.028652] | {pid= 2464} | {tid=     2424} |  ::  | IW022E Error authenticating request. Reason: Object reference not set to an instance of an object.
[31/01/2016 | 09:32:13.028899] | {pid= 2464} | {tid=     2424} |  ::  | IW022E Error authenticating request. Reason: Object reference not set to an instance of an object.
[31/01/2016 | 09:32:13.029130] | {pid= 2464} | {tid=     2424} |  ::  | IW022E Error authenticating request. Reason: Object reference not set to an instance of an object.
[31/01/2016 | 09:32:13.029350] | {pid= 2464} | {tid=     2424} |  ::  | IW022E Error authenticating request. Reason: Object reference not set to an instance of an object.
[31/01/2016 | 09:32:13.029578] | {pid= 2464} | {tid=     2424} |  ::  | IW022E Error authenticating request. Reason: Object reference not set to an instance of an object.
[31/01/2016 | 09:32:13.029826] | {pid= 2464} | {tid=     2424} |  ::  | IW022E Error authenticating request. Reason: Object reference not set to an instance of an object.
[31/01/2016 | 09:32:13.030154] | {pid= 2464} | {tid=     2424} |  ::  | IW022E Error authenticating request. Reason: Object reference not set to an instance of an object.
[31/01/2016 | 09:32:13.042031] | {pid= 2464} | {tid=     2424} |  ::  | CASW029D ------------ STARTING Authorize Request --------------
[31/01/2016 | 09:32:13.046356] | {pid= 2464} | {tid=     2424} |  ::  | CASW050D ------------ ENDING Authorize Request --------------
[31/01/2016 | 09:32:13.078463] | {pid= 2464} | {tid=     2448} |  ::  | CASW002D ------------ STARTING Begin Request --------------
[31/01/2016 | 09:32:13.078700] | {pid= 2464} | {tid=     2448} |  ::  | EPVAN037D User agent: Cyber-Ark tasks agent
[31/01/2016 | 09:32:13.079034] | {pid= 2464} | {tid=     2448} |  ::  | CASW005E Failed in Begin_Request. Reason: Object reference not set to an instance of an object.
[31/01/2016 | 09:32:13.079156] | {pid= 2464} | {tid=     2448} |  ::  | CASW003D ------------ ENDING Begin Request --------------
[31/01/2016 | 09:32:13.079319] | {pid= 2464} | {tid=     2448} |  ::  | CASW057D ------------ STARTING Application Begin Request --------------
[31/01/2016 | 09:32:13.079521] | {pid= 2464} | {tid=     2448} |  ::  | IW046E Error in Application BeginRequest. Reason: The type initializer for 'c4' threw an exception.
[31/01/2016 | 09:32:13.079735] | {pid= 2464} | {tid=     2448} |  ::  | CASW058D ------------ ENDING Application Begin Request --------------
[31/01/2016 | 09:32:13.080037] | {pid= 2464} | {tid=     2448} |  ::  | IW022E Error authenticating request. Reason: Object reference not set to an instance of an object.
[31/01/2016 | 09:32:13.080290] | {pid= 2464} | {tid=     2448} |  ::  | IW022E Error authenticating request. Reason: Object reference not set to an instance of an object.
[31/01/2016 | 09:32:13.080522] | {pid= 2464} | {tid=     2448} |  ::  | IW022E Error authenticating request. Reason: Object reference not set to an instance of an object.
[31/01/2016 | 09:32:13.080739] | {pid= 2464} | {tid=     2448} |  ::  | IW022E Error authenticating request. Reason: Object reference not set to an instance of an object.
[31/01/2016 | 09:32:13.080954] | {pid= 2464} | {tid=     2448} |  ::  | IW022E Error authenticating request. Reason: Object reference not set to an instance of an object.
[31/01/2016 | 09:32:13.081169] | {pid= 2464} | {tid=     2448} |  ::  | IW022E Error authenticating request. Reason: Object reference not set to an instance of an object.
[31/01/2016 | 09:32:13.081384] | {pid= 2464} | {tid=     2448} |  ::  | IW022E Error authenticating request. Reason: Object reference not set to an instance of an object.
[31/01/2016 | 09:32:13.081601] | {pid= 2464} | {tid=     2448} |  ::  | IW022E Error authenticating request. Reason: Object reference not set to an instance of an object.
[31/01/2016 | 09:32:13.081800] | {pid= 2464} | {tid=     2448} |  ::  | CASW029D ------------ STARTING Authorize Request --------------
